no,id_event,nis,name,id_role,jenis_kelamin,jenis_latihan,peserta,tipe_ukt,id_ranting,rayon,tingkatan
26,1,2,Rodolfo Jaime,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Magangué,Hitam
27,3,102,Tye Colisbe,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Pacho,Putih
28,4,30441,Bat Tschirasche,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Pointe-à-Pitre,UKCW
29,1,7952,Maurizia De Bruyn,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Yangjiaping,Hitam
30,2,847,Davida Laurie,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Shimoda,Hijau
31,1,71797,Isabelle Adcocks,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Bayanhongor,Hitam
32,4,774,Selig Rexworthy,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Longtanping,UKCW
33,3,7,Frants Petrov,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Wanjia,Putih
34,1,19985,Corrinne Crosston,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Huangcun,Hitam
35,1,98,Cayla Rennebach,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Potou,Hitam
36,4,113,Vail Aitchinson,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Sambopinggir,UKCW
37,1,752,Slade Soares,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Takikawa,Hitam
38,4,6,Melisent Simmans,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Xinyang,UKCW
39,2,49928,Daryl Plevey,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Kodyma,Hijau
40,3,13463,Lexy Scattergood,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Chaloem Phra Kiat,Putih
41,4,9,Burt Buzek,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Veselí nad Moravou,UKCW
42,1,4,Maribel Mickan,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Osoyoos,Hitam
43,3,965,Nixie Nunnerley,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Babatngon,Putih
44,2,0,Grayce Eyam,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Berekum,Hijau
45,1,049,Vivianne Gathwaite,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Windsor,Hitam
46,3,5444,Salomon Middup,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Bulbul,Putih
47,2,53,Maressa Baack,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Lalupon,Hijau
48,1,043,Corrina Taft,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Balayan,Hitam
49,3,21,Tanny Wessell,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Duitama,Putih
50,2,4047,Chuck Juan,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Tuba,Hijau
51,3,263,Jayme Faley,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,El Vigía,Putih
52,3,186,Julianna McGeachie,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Muye,Putih
53,3,862,Melany Okie,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Parengan,Putih
54,2,967,Eustace Orchart,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Hijau,2,Thị Trấn Bắc Yên,Hijau
55,2,4976,Barthel Giggs,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Askim,Hijau
56,3,5,Huntley Lazare,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Ngala,Putih
57,4,701,Darya Scathard,siswa,Laki laki,Privat,Privat - Laki laki,UKCW,2,Évry,UKCW
58,4,31,Robbie Gooley,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Ghormach,UKCW
59,1,2958,Lilias Cund,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Cát Bà,Hitam
60,2,99,Lorianna Reburn,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Montbrison,Hijau
61,1,8,Augustine Hencke,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Strasbourg,Hitam
62,3,1647,Marylynne Wathell,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Krajan Joho,Putih
63,1,44290,Talbert Ducarel,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Chinchaypujio,Hitam
64,1,65,Alexandros Loachhead,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Santa Ana,Hitam
65,1,16,Boniface Manson,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Brwinów,Hitam
66,2,4790,Karly Chauvey,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Poddębice,Hijau
67,3,18174,Norry Grindle,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Kasba Tadla,Putih
68,3,68838,Renelle Linfoot,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Boa Esperança,Putih
69,3,574,Gabbie O'Regan,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Banjarbaru,Putih
70,3,3034,Hinze Rennles,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,São Miguel da Carreira,Putih
71,2,539,Dolley Pedroli,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Gampola,Hijau
72,4,3,Rici Gonnely,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Iaçu,UKCW
73,1,9,Bent Casacchia,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Beaune,Hitam
74,1,1703,Rene Hebbes,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Sakaidechō,Hitam
75,3,221,Cleve Cottrill,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Trondheim,Putih
76,1,41693,Thedrick Castanyer,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Nàng Mau,Hitam
77,2,65239,Shalom Pollak,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Néa Ionía,Hijau
78,2,59125,Florrie Shildrick,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Kŭrdzhali,Hijau
79,4,6,Mela Dils,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Jilin,UKCW
80,3,42,Wandie Bernardt,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Ar Ruḩaybah,Putih
81,1,774,Rikki Carah,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Jiangkou,Hitam
82,2,60,Bekki Rosewall,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Aloleng,Hijau
83,1,6902,Loralee Indge,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Zoushi,Hitam
84,1,18,Robin Escolme,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Wenfu,Hitam
85,1,472,Kendal Gallamore,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Yancheng,Hitam
86,3,91785,Nobe Kidgell,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Lourdes,Putih
87,2,61266,Brandais Verty,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Kolonowskie,Hijau
88,3,00649,Ira Phettiplace,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Zhukovka,Putih
89,4,345,Darn Hughf,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,İsmayıllı,UKCW
90,4,3,Andonis Union,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Manamrag,UKCW
91,4,8518,Lenna Scutchings,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Keti Bandar,UKCW
92,1,9136,Andriana Irnys,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Kasama,Hitam
93,2,75735,Samson Starrs,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Waipukang,Hijau
94,3,97183,Shawn Wines,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Krajan Sumurtawang,Putih
95,1,11,Barbara-anne Ewbach,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Rosmalen,Hitam
96,4,40654,Dynah Claw,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Wangmang,UKCW
97,3,4,Marieann Driscoll,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Goshogawara,Putih
98,1,16844,Colet Koschke,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Si That,Hitam
99,4,80,Magdaia Klaffs,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Soreang,UKCW
100,3,21,Estele Balnaves,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Bilajer,Putih
