no,id_event,nis,name,id_role,jenis_kelamin,jenis_latihan,peserta,tipe_ukt,id_ranting,rayon,tingkatan
47,1,13,Willamina Corteney,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Lodwar,Hitam
48,2,23,Beatrisa Jeffree,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Tozkhurmato,Hijau
49,3,15,Betsey Rosier,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Kozakai-chō,Putih
50,2,911,Gasparo Mapham,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Liukou,Hijau
51,4,13378,Urbano Chadwell,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Lingbei,UKCW
52,4,7934,Pearline Jarley,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Las Lajas,UKCW
53,4,3123,Mackenzie Bleesing,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Yur’yevets,UKCW
54,1,64600,Carleton Millward,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Oepula,Hitam
55,1,5950,Hyacinth Friese,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Eydhafushi,Hitam
56,1,8130,Gayle Troth,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Zhongzhai,Hitam
57,2,07,Ely Goldstein,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Abovyan,Hijau
58,4,7818,Augustine Emer,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Sawahbaru,UKCW
59,3,37,Farlee Lukacs,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Shuanghe,Putih
60,1,259,Riva McArt,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Mingelchaur,Hitam
61,3,53,Idette Chilles,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Loudi,Putih
62,3,9,Helenelizabeth Swales,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Nouaseur,Putih
63,1,08,Cirstoforo Pendrill,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Ngilengan,Hitam
64,4,57482,Clio Tonsley,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Cúcuta,UKCW
65,1,880,Kit Wimbush,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Nador,Hitam
66,4,27,Tillie Hubback,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Kotel’niki,UKCW
67,2,29,Romain Ivers,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Huolongmen,Hijau
68,4,506,Sid Wickson,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Pangkalanbuun,UKCW
69,2,4965,Aleece Lansdown,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Nairobi,Hijau
70,2,4,Rozamond Walters,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Tiemen,Hijau
71,3,105,Davon Spyby,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Peterborough,Putih
72,4,95,Joachim McVicker,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Pokrovskoye,UKCW
73,1,43,Mair Jellybrand,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Ozherel’ye,Hitam
74,4,68,Malory Mowbray,siswa,Laki laki,Privat,Privat - Laki laki,UKCW,2,Korczyna,UKCW
75,3,04,Horace Mitie,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Madona,Putih
76,3,92787,Saleem Marriner,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Nueva Esperanza,Putih
77,3,2987,Denna Warren,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Jiaxian Chengguanzhen,Putih
78,2,1729,Lorianne Solleme,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Okinawa,Hijau
79,1,19514,Giavani Claxton,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Zarichchya,Hitam
80,1,56458,Spike Battams,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,København,Hitam
81,1,709,Bobbette Hayman,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Doumuhu,Hitam
82,2,843,Jobyna Cowles,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,As Suqaylibīyah,Hijau
83,3,50462,Avrom Kindon,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Putih,2,Casal,Putih
84,2,69,Penrod De Andreis,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Mainri,Hijau
85,4,12,Demott Tilley,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Oelaba,UKCW
86,1,68078,Izaak Mecchi,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Berlin,Hitam
87,3,89395,Valentine Corrado,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Topeka,Putih
88,4,66,Valdemar Stokes,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Katy,UKCW
89,2,156,Aeriela Hornung,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Tongyangdao,Hijau
90,3,52,Loralee Fearneley,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Korolëv Stan,Putih
91,2,4,Marji Waplinton,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Ambarakaraka,Hijau
92,4,4,Gavra Stive,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,North Little Rock,UKCW
93,3,8325,Halley Mithun,siswa,Laki laki,Privat,Privat - Laki laki,UKT Putih,2,Midland,Putih
94,2,70,Ruthi MacGilfoyle,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Shuanggang,Hijau
95,2,4769,Orazio Haquin,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Roermond,Hijau
96,2,26,Doyle Stood,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Vawkavysk,Hijau
97,4,852,Gretchen Gaughan,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Koniaków,UKCW
98,4,462,Charlena Peake,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Olutanga,UKCW
99,4,4,Dame Beggan,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Karangboyo,UKCW
100,1,49,Agnola Porrett,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,El Porvenir,Hitam
